date,time_interval,quantity
2/8/23,18,323
2/8/23,19,272
2/8/23,20,248
2/8/23,21,181
2/8/23,22,83
2/8/23,23,44
2/8/23,24,6
2/9/23,0,17
2/9/23,1,18
2/9/23,2,12
2/9/23,3,4
2/9/23,4,11
2/9/23,5,15
2/9/23,6,50
2/9/23,7,94
2/9/23,8,252
2/9/23,9,366
2/9/23,10,426
2/9/23,11,298
2/9/23,12,305
2/9/23,13,306
2/9/23,14,283
2/9/23,15,272
2/9/23,16,279
2/9/23,17,270
2/9/23,18,295
2/9/23,19,312
2/9/23,20,268
2/9/23,21,147
2/9/23,22,87
2/9/23,23,34
2/9/23,24,5
2/10/23,0,11
2/10/23,1,19
2/10/23,2,21
2/10/23,3,7
2/10/23,4,9
2/10/23,5,16
2/10/23,6,39
2/10/23,7,85
2/10/23,8,227
2/10/23,9,361
2/10/23,10,406
2/10/23,11,361
2/10/23,12,355
2/10/23,13,298
2/10/23,14,302
2/10/23,15,275
2/10/23,16,292
2/10/23,17,339
2/10/23,18,335
2/10/23,19,323
2/10/23,20,267
2/10/23,21,164
2/10/23,22,80
2/10/23,23,43
2/10/23,24,4
2/11/23,0,13
2/11/23,1,13
2/11/23,2,4
2/11/23,3,16
2/11/23,4,7
2/11/23,5,15
2/11/23,6,20
2/11/23,7,76
2/11/23,8,207
2/11/23,9,355
2/11/23,10,376
2/11/23,11,403
2/11/23,12,375
2/11/23,13,368
2/11/23,14,336
2/11/23,15,269
2/11/23,16,283
2/11/23,17,342
2/11/23,18,295
2/11/23,19,258
2/11/23,20,201
2/11/23,21,148
2/11/23,22,110
2/11/23,23,44
2/11/23,24,5
2/12/23,0,21
2/12/23,1,26
2/12/23,2,10
2/12/23,3,9
2/12/23,4,9
2/12/23,5,13
2/12/23,6,20
2/12/23,7,52
2/12/23,8,176
2/12/23,9,323
2/12/23,10,418
2/12/23,11,421
2/12/23,12,362
2/12/23,13,347
2/12/23,14,344
2/12/23,15,295
2/12/23,16,299
2/12/23,17,326
2/12/23,18,335
2/12/23,19,272
2/12/23,20,190
2/12/23,21,139
2/12/23,22,74
2/12/23,23,38
2/12/23,24,5
2/13/23,0,19
2/13/23,1,6
2/13/23,2,8
2/13/23,3,9
2/13/23,4,9
2/13/23,5,12
2/13/23,6,27
2/13/23,7,71
2/13/23,8,210
2/13/23,9,344
2/13/23,10,372
2/13/23,11,344
2/13/23,12,340
2/13/23,13,288
2/13/23,14,303
2/13/23,15,254
2/13/23,16,226
2/13/23,17,241
2/13/23,18,288
2/13/23,19,262
2/13/23,20,224
2/13/23,21,174
2/13/23,22,57
2/13/23,23,50
2/13/23,24,9
2/14/23,0,12
2/14/23,1,8
2/14/23,2,14
2/14/23,3,9
2/14/23,4,6
2/14/23,5,9
2/14/23,6,48
2/14/23,7,82
2/14/23,8,233
2/14/23,9,351
2/14/23,10,379
2/14/23,11,391
2/14/23,12,353
2/14/23,13,295
2/14/23,14,296
2/14/23,15,254
2/14/23,16,259
2/14/23,17,281
2/14/23,18,309
2/14/23,19,336
2/14/23,20,270
2/14/23,21,154
2/14/23,22,96
2/14/23,23,32
2/14/23,24,5
2/15/23,0,14
2/15/23,1,12
2/15/23,2,15
2/15/23,3,5
2/15/23,4,10
2/15/23,5,12
2/15/23,6,34
2/15/23,7,76
2/15/23,8,207
2/15/23,9,345
2/15/23,10,355
2/15/23,11,329
2/15/23,12,358
2/15/23,13,334
2/15/23,14,294
2/15/23,15,247
2/15/23,16,232
2/15/23,17,298
2/15/23,18,302
2/15/23,19,319
2/15/23,20,278
2/15/23,21,191
2/15/23,22,90
2/15/23,23,44
2/15/23,24,2
2/16/23,0,9
2/16/23,1,8
2/16/23,2,7
2/16/23,3,7
2/16/23,4,16
2/16/23,5,24
2/16/23,6,49
2/16/23,7,96
2/16/23,8,216
2/16/23,9,340
2/16/23,10,415
2/16/23,11,423
2/16/23,12,395
2/16/23,13,339
2/16/23,14,292
2/16/23,15,282
2/16/23,16,248
2/16/23,17,284
2/16/23,18,315
2/16/23,19,320
2/16/23,20,286
2/16/23,21,183
2/16/23,22,83
2/16/23,23,39
2/16/23,24,7
2/17/23,0,10
2/17/23,1,13
2/17/23,2,14
2/17/23,3,5
2/17/23,4,10
2/17/23,5,9
2/17/23,6,43
2/17/23,7,99
2/17/23,8,233
2/17/23,9,353
2/17/23,10,387
2/17/23,11,396
2/17/23,12,339
2/17/23,13,317
2/17/23,14,280
2/17/23,15,267
2/17/23,16,257
2/17/23,17,285
2/17/23,18,337
2/17/23,19,303
2/17/23,20,259
2/17/23,21,211
2/17/23,22,100
2/17/23,23,62
2/17/23,24,6
2/18/23,0,15
2/18/23,1,9
2/18/23,2,10
2/18/23,3,5
2/18/23,4,6
2/18/23,5,16
2/18/23,6,33
2/18/23,7,78
2/18/23,8,205
2/18/23,9,377
2/18/23,10,416
2/18/23,11,383
2/18/23,12,388
2/18/23,13,361
2/18/23,14,327
2/18/23,15,284
2/18/23,16,271
2/18/23,17,338
2/18/23,18,289
2/18/23,19,282
2/18/23,20,217
2/18/23,21,158
2/18/23,22,98
2/18/23,23,42
2/18/23,24,9
2/19/23,0,18
2/19/23,1,15
2/19/23,2,5
2/19/23,3,6
2/19/23,4,11
2/19/23,5,12
2/19/23,6,22
2/19/23,7,62
2/19/23,8,178
2/19/23,9,311
2/19/23,10,402
2/19/23,11,423
2/19/23,12,412
2/19/23,13,376
2/19/23,14,332
2/19/23,15,341
2/19/23,16,296
2/19/23,17,339
2/19/23,18,339
2/19/23,19,302
2/19/23,20,224
2/19/23,21,193
2/19/23,22,81
2/19/23,23,42
2/19/23,24,8
2/20/23,0,17
2/20/23,1,9
2/20/23,2,7
2/20/23,3,12
2/20/23,4,6
2/20/23,5,18
2/20/23,6,27
2/20/23,7,96
2/20/23,8,236
2/20/23,9,331
2/20/23,10,378
2/20/23,11,356
2/20/23,12,358
2/20/23,13,306
2/20/23,14,279
2/20/23,15,263
2/20/23,16,252
2/20/23,17,281
2/20/23,18,285
2/20/23,19,264
2/20/23,20,215
2/20/23,21,177
2/20/23,22,103
2/20/23,23,46
2/20/23,24,10
2/21/23,0,7
2/21/23,1,7
2/21/23,2,11
2/21/23,3,8
2/21/23,4,4
2/21/23,5,12
2/21/23,6,30
2/21/23,7,77
2/21/23,8,262
2/21/23,9,354
2/21/23,10,384
2/21/23,11,368
2/21/23,12,340
2/21/23,13,328
2/21/23,14,262
2/21/23,15,248
2/21/23,16,251
