date,time_interval,quantity
2023-06-15,4,10.0
2023-06-15,5,23.0
2023-06-15,6,50.0
2023-06-15,7,116.0
2023-06-15,8,195.0
2023-06-15,9,330.0
2023-06-15,10,316.0
2023-06-15,11,274.0
2023-06-15,12,249.0
2023-06-15,13,285.0
2023-06-15,14,212.0
2023-06-15,15,199.0
2023-06-15,16,179.0
2023-06-15,17,179.0
2023-06-15,18,213.0
2023-06-15,19,264.0
2023-06-15,20,212.0
2023-06-15,21,208.0
2023-06-15,22,113.0
2023-06-15,23,51.0
2023-06-15,24,3.0
2023-06-16,0,12.0
2023-06-16,1,16.0
2023-06-16,2,3.0
2023-06-16,3,1.0
2023-06-16,4,6.0
2023-06-16,5,16.0
2023-06-16,6,39.0
2023-06-16,7,102.0
2023-06-16,8,182.0
2023-06-16,9,264.0
2023-06-16,10,296.0
2023-06-16,11,305.0
2023-06-16,12,289.0
2023-06-16,13,259.0
2023-06-16,14,263.0
2023-06-16,15,209.0
2023-06-16,16,192.0
2023-06-16,17,232.0
2023-06-16,18,225.0
2023-06-16,19,231.0
2023-06-16,20,212.0
2023-06-16,21,178.0
2023-06-16,22,114.0
2023-06-16,23,65.0
2023-06-16,24,5.0
2023-06-17,0,29.0
2023-06-17,1,18.0
2023-06-17,2,5.0
2023-06-17,3,4.0
2023-06-17,4,12.0
2023-06-17,5,17.0
2023-06-17,6,38.0
2023-06-17,7,99.0
2023-06-17,8,192.0
2023-06-17,9,279.0
2023-06-17,10,298.0
2023-06-17,11,275.0
2023-06-17,12,296.0
2023-06-17,13,239.0
2023-06-17,14,208.0
2023-06-17,15,194.0
2023-06-17,16,211.0
2023-06-17,17,207.0
2023-06-17,18,191.0
2023-06-17,19,182.0
2023-06-17,20,207.0
2023-06-17,21,182.0
2023-06-17,22,81.0
2023-06-17,23,39.0
2023-06-17,24,5.0
2023-06-18,0,16.0
2023-06-18,1,13.0
2023-06-18,2,10.0
2023-06-18,3,11.0
2023-06-18,4,7.0
2023-06-18,5,8.0
2023-06-18,6,40.0
2023-06-18,7,84.0
2023-06-18,8,179.0
2023-06-18,9,278.0
2023-06-18,10,301.0
2023-06-18,11,287.0
2023-06-18,12,285.0
2023-06-18,13,277.0
2023-06-18,14,242.0
2023-06-18,15,226.0
2023-06-18,16,196.0
2023-06-18,17,220.0
2023-06-18,18,238.0
2023-06-18,19,236.0
2023-06-18,20,213.0
2023-06-18,21,210.0
